Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;camere;camere_piano;categoria;insegna;nro_apparecchi_tel_ricettiva;numero_servizi;numero_servizi_piano;piani_tot;piano_piano;posti_letto;posti_letto_piano;tipo_att_strut_extra;MUNICIPIO;LONGIT;LATIT;Location
C-AL/62;Via CANONICA LUIGI N. 79 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;Via CANONICA LUIGI;79;7121;12;12;1;pensione aris;;3;3;1;1;17;17;Albergo;8;9.17069980332;45.480520407;45.480520407, 9.17069980332
C-AL/63;Via CAPPELLINI ALFREDO N. 18 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;Via CAPPELLINI ALFREDO;18;2130;81;16|16|17|17|15;3;hotel delle nazioni;;;16|16|17|17|15;5;1|2|3|4|5;163;25|25|27|26|21;Albergo;2;9.20301744877;45.4811646723;45.4811646723, 9.20301744877
C-AL/64;Via CARCANO FILIPPO N. 37 (z.d. 7);ATTIVITA RICETTIVE - Strutt. albergh.;Via CARCANO FILIPPO;37;6389;12;;1;hotel leonardo;;;;;;22;;Albergo;7;9.14677316697;45.4737196782;45.4737196782, 9.14677316697
C-AL/65;Via CARCANO FILIPPO N. 47 (z.d. 7);ATTIVITA RICETTIVE - Strutt. albergh.;Via CARCANO FILIPPO;47;6389;8;4|4;1;gianni;;1;0|1;2;R|1;10;5|5;Albergo;7;9.14642266279;45.4734899202;45.4734899202, 9.14642266279
C-AL/66;Via CARDANO GEROLAMO N. 1 (z.d. 9);ATTIVITA RICETTIVE - Strutt. albergh.;Via CARDANO GEROLAMO;1;1187;254;0;4;hotel four points sheraton milan centre;;;0;;;486;0;Albergo;9;9.1985359901;45.4849023847;45.4849023847, 9.1985359901
C-AL/67;Largo CARROBBIO num.002|;ATTIVITA RICETTIVE - Strutt. albergh.;Largo CARROBBIO;;542;52;8|8|8|8|8|8;3;hotel ariston;;48;8|8|8|8|8|8;6;1|2|3|4|5|6;95;15|15|15|12|10|10;Albergo;;;;
C-AL/68;Via CASATI FELICE N. 18 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via CASATI FELICE;18;2122;99;16|16|16;4;albergo felice casati;;;6|6|6;;3|1|2;145;22|22|22;Albergo;3;9.20396315771;45.4786483518;45.4786483518, 9.20396315771
C-AL/69;Via CASELLA GIOVANNI BATTISTA N. 61 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;Via CASELLA GIOVANNI BATTISTA;61;7382;86;10;4;hotel mirage;;;10;;1|2|3|4|5;153;16;Albergo;8;9.14200724401;45.4947788925;45.4947788925, 9.14200724401
C-AL/70;Via CASTALDI PANFILO N. 16 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via CASTALDI PANFILO;16;2119;22;0;3;hotel brianza;;;0;;;43;0;Albergo;3;9.20170627252;45.4772180893;45.4772180893, 9.20170627252
C-AL/71;Via CASTALDI PANFILO N. 17 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via CASTALDI PANFILO;17;2119;15;15;2;hotel siena;;12;12;1;1;25;25;Albergo;3;9.20182851819;45.4773292395;45.4773292395, 9.20182851819
C-AL/72;Via CASTALDI PANFILO N. 26 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via CASTALDI PANFILO;26;2119;12;;1;hotel porta venezia;;;;;;20;;Albergo;3;9.20302766916;45.4766416508;45.4766416508, 9.20302766916
C-AL/73;Via CASTELFIDARDO N. 2 (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;Via CASTELFIDARDO;2;1043;11;;2;antica locanda solferino;;;;;;21;;Albergo;1;9.1885202103;45.4781875401;45.4781875401, 9.1885202103
C-AL/286;VIA MAMETE (SAN) N. 12 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;VIA MAMETE (SAN);12;2413;13;13;2;albergo convertini;;2;2;1;1;28;28;Albergo;2;9.24850051277;45.5108446384;45.5108446384, 9.24850051277
C-AL/287;Via MARIA FULCORINA (SANTA) N. 15 (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;Via MARIA FULCORINA (SANTA);15;630;25;7|7|7|4;3;hotel nuovo biscione;;26;8|8|8|2;4;1|2|3|4;34;10|10|10|4;Albergo;1;9.18275287802;45.4643220438;45.4643220438, 9.18275287802
C-AL/288;Piazza MARIA BELTRADE (SANTA) N. 4 (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;Piazza MARIA BELTRADE (SANTA);4;514;48;;3;hotel gritti;;;;;;78;;Albergo;1;9.18660627097;45.4630910852;45.4630910852, 9.18660627097
C-AL/688;Via GIAMBELLINO N. 9 (z.d. 6);ATTIVITA RICETTIVE - Strutt. albergh.;Via GIAMBELLINO;9;5136;9;9;2;residence giambellino di laura fiamberti;;;0;;;18;18;Residence;6;9.15222657343;45.4516422016;45.4516422016, 9.15222657343
C-AL/691;Via PORPORA NICOLA ANTONIO N. 132 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via PORPORA NICOLA ANTONIO;132;2229;7;7;1;hotela alba;;;0;;;12;12;Albergo;3;9.22907514104;45.4859656539;45.4859656539, 9.22907514104
C-AL/718;VIA LOMBARDI RICCARDO N. 9/11 riccardo lombardi 9/11 (z.d. 7);ATTIVITA RICETTIVE - Strutt. albergh.;VIA LOMBARDI RICCARDO;9/11;6893;75;0;4;hotel silver;;;0;;;150;0;Albergo;;;;
C-AL/736;Via PORRO EDOARDO N. 8 (z.d. 9);ATTIVITA RICETTIVE - Strutt. albergh.;Via PORRO EDOARDO;8;1226;13;13;3;hotel ares;;;0;;;25;21;Albergo;9;9.17947632107;45.4960084429;45.4960084429, 9.17947632107
C-AL/741;Via TEODOSIO N. 37 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via TEODOSIO;37;2550;8;0;1;hotel galla;;;0;;;15;0;Albergo;3;9.22968918506;45.4854165238;45.4854165238, 9.22968918506
C-AL/744;Via AIRAGHI GAETANO N. 125 (z.d. 7);ATTIVITA RICETTIVE - Strutt. albergh.;Via AIRAGHI GAETANO;125;6330;234;0;4;idea hotel milano san siro;;;0;;;432;0;Albergo;7;9.07764320434;45.4713443603;45.4713443603, 9.07764320434
C-AL/744;Via AIRAGHI GAETANO N. 125 (z.d. 7);ATTIVITA RICETTIVE - Strutt. albergh.;Via AIRAGHI GAETANO;125;6330;234;0;4;idea hotel milano san siro;;;0;;;432;0;Albergo;7;9.07771358523;45.4718993784;45.4718993784, 9.07771358523
C-AL/746;Via GIOIA MELCHIORRE N. 73 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;Via GIOIA MELCHIORRE;73;1108;109;0;4;crowne plaza milan city;;;0;;;218;0;Albergo;2;9.20071233876;45.4895725202;45.4895725202, 9.20071233876
C-AL/748;CORSO MATTEOTTI GIACOMO N. 4 matteotti 4/6 (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;CORSO MATTEOTTI GIACOMO;4;218;154;154;5 STELLE;PALAZZO MATTEOTTI;;;0;;;308;308;Albergo;1;9.19425518815;45.4668732801;45.4668732801, 9.19425518815
C-AL/749;Via POMPONAZZI PIETRO N. 3 rta due stelle-appartam 7-14pl| (z.d. 5);ATTIVITA RICETTIVE - Strutt. albergh.;Via POMPONAZZI PIETRO;3;5246;7;7;3;residenza chiaralba;;;0;;;14;14;Residence;5;9.17959585169;45.4417727527;45.4417727527, 9.17959585169
C-AL/768;Via TENCA CARLO N. 11 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;Via TENCA CARLO;11;2118;27;0;3;tencaresidence;;;0;;;92;0;Residence;2;9.20155581398;45.4804616403;45.4804616403, 9.20155581398
C-AL/786;PIAZZA FONTANA N. 3;ATTIVITA RICETTIVE - Strutt. albergh.;PIAZZA FONTANA;3;308;330;45|43|41|6|1;4;starhotels rosa grand;;;0;;1|2|3|4|5|6;656;78|76|74|64|10|1;Albergo;1;9.19390746766;45.4639629406;45.4639629406, 9.19390746766
C-AL/789;Via LUDOVICO DI BREME N. 77 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;Via LUDOVICO DI BREME;77;7396;240;0;4;double tree by hilton milan;;;0;;;480;0;Albergo;8;9.13806973752;45.5009440572;45.5009440572, 9.13806973752
C-AL/790;Via FONTANILI (DEI) N. 26 (z.d. 5);ATTIVITA RICETTIVE - Strutt. albergh.;Via FONTANILI (DEI);26;4224;57;57;4;mihotel;;;0;;;75;75;Albergo;5;9.19222162538;45.4404998346;45.4404998346, 9.19222162538
C-AL/813;Via BARTOLOZZI FRANCESCO N. 9 (z.d. 4);ATTIVITA RICETTIVE - Strutt. albergh.;Via BARTOLOZZI FRANCESCO;9;3267;7;7;2;hotel rossovino;;;0;;;12;12;Albergo;4;9.22690548061;45.4612356603;45.4612356603, 9.22690548061
C-AL/830;VIA TAZZOLI ENRICO N. 7 (z.d. 9);ATTIVITA RICETTIVE - Strutt. albergh.;VIA TAZZOLI ENRICO;7;1118;35;23;4;hotel hua xia milano;;;0;;;41;24;Albergo;9;9.18379249684615;45.4849655306668;45.4849655306668, 9.18379249684615
C-AL/831;VIALE MONTE GRAPPA N. 12 (z.d. 9);ATTIVITA RICETTIVE - Strutt. albergh.;VIALE MONTE GRAPPA;12;1101;65;65;4;maison moschino;;;0;;;133;133;Albergo;9;9.19013840475;45.4810834675;45.4810834675, 9.19013840475
C-AL/832;Corso LODI N. 4 (z.d. 5) lodi 4;ATTIVITA RICETTIVE - Strutt. albergh.;;;;21;21;;hotel five;;;0;;;43;43;Albergo;;;;
C-AL/852;codvia 0000 num.024| ();ATTIVITA RICETTIVE - Strutt. albergh.;;;;259;259;4;radisson blu hotel milan;;;0;;;518;518;Albergo;;;;
C-AL/854;VIA VILLAPIZZONE N. 24 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;VIA VILLAPIZZONE;24;7272;250;259;4;radisson blu hotel milan;;;0;;;500;518;Albergo;8;9.14474339255;45.5007166497;45.5007166497, 9.14474339255
C-AL/855;VIA POLONIA N. 10 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;VIA POLONIA;10;7505;162;162;4;the hub;;;0;;;306;306;Albergo;8;9.11916237221;45.513919724;45.513919724, 9.11916237221
C-AL/855;VIA POLONIA N. 10 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;VIA POLONIA;10;7505;162;162;4;the hub;;;0;;;306;306;Albergo;8;9.11919126203;45.5136189819;45.5136189819, 9.11919126203
C-AL/856;Via NICOTERA GIOVANNI N. 9 (z.d. 9);ATTIVITA RICETTIVE - Strutt. albergh.;Via NICOTERA GIOVANNI;9;1508;24;41;4;HOTEL RESIDENCE ACCA PALACE;;;0;;;48;82;Albergo;9;9.17458611578;45.510527369;45.510527369, 9.17458611578
C-AL/870;Via TRIESTE N. 15 (z.d. 7);ATTIVITA RICETTIVE - Strutt. albergh.;Via TRIESTE;15;6261;10;10;2;my hotel milano;;;0;;;12;12;Albergo;7;9.15312473913;45.4630371775;45.4630371775, 9.15312473913
C-AL/871;PIAZZA REPUBBLICA (DELLA) N. 17 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;PIAZZA REPUBBLICA (DELLA);17;1055;302;412;5;HOTEL PRINCIPE DI SAVOIA;;;0;;;725;812;Albergo;2;9.1969244465;45.4797945588;45.4797945588, 9.1969244465
C-AL/875;Via ORSO (DELL') N. 7 (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;Via ORSO (DELL');7;123;62;62;4;hotel milano scala;;;0;;;115;115;Albergo;1;9.18684144878;45.4690190061;45.4690190061, 9.18684144878
C-AL/294;Via SOFIA (SANTA) N. 16 (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;Via SOFIA (SANTA);16;408;35;0;3;hotel canada;;;0;;;78;0;Albergo;1;9.19110467915;45.4574146475;45.4574146475, 9.19110467915
C-AL/296;Via SANTO SPIRITO N. 20 (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;Via SANTO SPIRITO;20;228;47;14|14|14|10;4;manzoni;;;14|14|14|10;4;1|2|3|4;99;24|24|23|15;Albergo;1;9.19543242037;45.4703485455;45.4703485455, 9.19543242037
C-AL/297;Via SARONNO N. 5 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;Via SARONNO;5;7202;15;4|4|4|2;1;hotel mignon;;5;1|2|1|1;4;1|2|3|4;24;6|6|6|2;Albergo;8;9.16733255094;45.4831007675;45.4831007675, 9.16733255094
C-AL/298;Via SCARLATTI DOMENICO N. 24 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;Via SCARLATTI DOMENICO;24;2136;78;3|22|21|22|22;4;andreola;;90;3|22|21|22|22;5;T|1|2|3|4;155;4|34|34|33|33;Albergo;2;9.20770499393925;45.4839075663414;45.4839075663414, 9.20770499393925
C-AL/299;Via SCARLATTI DOMENICO N. 32 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;Via SCARLATTI DOMENICO;32;2136;68;;4;hotel bristol;;;;;;116;;Albergo;2;9.20651257402;45.4844847465;45.4844847465, 9.20651257402
C-AL/300;Via SCARLATTI DOMENICO N. 33 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;Via SCARLATTI DOMENICO;33;2136;305;10|37|25|25|27|27|14|14|14|14;4;hotel michelangelo;;305;10|37|25|25|27|27|14|14|14|14;17;1|2|3|4|5|6|7|8|9|0;538;15|68|33|40|48|48|26|26|26|26;Albergo;2;9.2062403771;45.4844043961;45.4844043961, 9.2062403771
C-AL/301;Corso SEMPIONE N. 69 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;Corso SEMPIONE;69;7137;82;;4;hotel nasco;;;;;;185;;Albergo;8;9.1596590815;45.4847415837;45.4847415837, 9.1596590815
C-AL/302;Via SENATO N. 5 (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;Via SENATO;5;236;93;0;5;carlton hotel baglioni;;;0;;;186;0;Albergo;1;9.19853124373;45.469217374;45.469217374, 9.19853124373
C-AL/304;Via SENIGALLIA N. 6 (z.d. 9);ATTIVITA RICETTIVE - Strutt. albergh.;Via SENIGALLIA;6;1708;306;;4;leonardo da vinci;;;;;;880;;Albergo;9;9.17074465745;45.5321874186;45.5321874186, 9.17074465745
C-AL/307;VIA SETTALA LODOVICO N. 56 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;VIA SETTALA LODOVICO;56;658;5;1|4|2;1;hotel da xin;;2;0|1;3;T|1|2;8;2|6|3;Albergo;;;;
C-AL/308;Via SETTALA LODOVICO N. 76 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via SETTALA LODOVICO;76;2111;20;3|4;2;hotel charly;;4;2|1;3;T|1|2;34;6|8|4;Albergo;3;9.20815597263;45.4824740354;45.4824740354, 9.20815597263
C-AL/309;Via SFORZA ASCANIO N. 73 (z.d. 5);ATTIVITA RICETTIVE - Strutt. albergh.;Via SFORZA ASCANIO;73;5201;15;3|12;2;hotel mercurio;;4;1|3;2;R|1;25;6|19;Albergo;5;9.17616490565;45.4426114482;45.4426114482, 9.17616490565
C-AL/310;Via SILVA GUGLIELMO num.012| (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;Via SILVA GUGLIELMO;;6400;96;0|12;4;mini hotel portello;;;0|12;4;1|2|3|4;202;0|23|12;Albergo;;;;
C-AL/311;Via SIRACUSA num.005/7| (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;Via SIRACUSA;;4032;48;6|6|6|4;4;residence bocconi;;;0|0|0|0;4;T|1|2|3;97;15|31|31|17;Residence;;;;
C-AL/312;Via SIRTE N. 9 (z.d. 6);ATTIVITA RICETTIVE - Strutt. albergh.;Via SIRTE;9;6116;94;7|8;3;hotel des etranger s;;;7|8;;1|2|3|4|5|6;159;13|14;Albergo;6;9.15383650456;45.4549481263;45.4549481263, 9.15383650456
C-AL/313;Via SIRTORI GIUSEPPE N. 24 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via SIRTORI GIUSEPPE;24;2180;60;;3;eurohotel;;;;;;101;;;3;9.20777170469;45.4741540868;45.4741540868, 9.20777170469
C-AL/314;Via SPADARI N. 11 (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;Via SPADARI;11;518;40;7|6|6|5|5|4|7;4;spadari al duomo;;41;7|7|6|6|5|5|4;7;2|3|4|5|6|7|1;99;15|14|14|11|9|7|15;Albergo;1;9.18688852745;45.4636233918;45.4636233918, 9.18688852745
C-AL/314;Via SPADARI N. 11 (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;Via SPADARI;11;518;40;7|6|6|5|5|4|7;4;spadari al duomo;;41;7|7|6|6|5|5|4;7;2|3|4|5|6|7|1;99;15|14|14|11|9|7|15;Albergo;1;9.18687530443;45.4636356389;45.4636356389, 9.18687530443
C-AL/316;VIA SPALLANZANI LAZZARO N. 40 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;VIA SPALLANZANI LAZZARO;40;2153;197;24|29|9;4;starhotels ritz;;;24|29|9;8;1|2|3|4|5|6|7|8;366;44|54|18;Albergo;3;9.20940118372;45.4780023376;45.4780023376, 9.20940118372
C-AL/318;Via SPONTINI GASPARE N. 6 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via SPONTINI GASPARE;6;2141;17;0|6|6;1;albergo del sole;;;0|5|2;2;|1|2;40;0|19|19;Albergo;3;9.21371082467;45.4817379005;45.4817379005, 9.21371082467
C-AL/319;VIALE SUZZANI GIOVANNI N. 13 (z.d. 9);ATTIVITA RICETTIVE - Strutt. albergh.;VIALE SUZZANI GIOVANNI;13;1446;172;30|11;4;novotel milano nord Ca' Granda;;172;30|11;7;1|2|3|4|5|6|7;344;60|22;Albergo;9;9.19755804514;45.50628495;45.50628495, 9.19755804514
C-AL/319;VIALE SUZZANI GIOVANNI N. 13 (z.d. 9);ATTIVITA RICETTIVE - Strutt. albergh.;VIALE SUZZANI GIOVANNI;13;1446;172;30|11;4;novotel milano nord Ca' Granda;;172;30|11;7;1|2|3|4|5|6|7;344;60|22;Albergo;9;9.19748206348;45.5062112055;45.5062112055, 9.19748206348
C-AL/320;Viale SUZZANI GIOVANNI num.013/15| (z.d. 9);ATTIVITA RICETTIVE - Strutt. albergh.;Viale SUZZANI GIOVANNI;;1446;131;33;3;hotel ibis milano ca granda;;144;33;4;1|2|3|4;262;66;Albergo;;;;
C-AL/321;Via TADINO ALESSANDRO N. 27 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via TADINO ALESSANDRO;27;2109;22;3|8;1;hotel nettuno;;13;3|5|2;4;T|A|1|2;53;6|12;Albergo;3;9.20787136174;45.479430693;45.479430693, 9.20787136174
C-AL/323;VIALE TESTI FULVIO N. 300 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;VIALE TESTI FULVIO;300;1441;134;15|9;4;starhotels tourist;;;15|5|9;;R|1|2|3|4|5;268;29|9;Albergo;9;9.21261387549;45.5267192907;45.5267192907, 9.21261387549
C-AL/324;Via TITO LIVIO N. 4 (z.d. 4);ATTIVITA RICETTIVE - Strutt. albergh.;Via TITO LIVIO;4;4086;40;0;3;mec hotel;;;0;;;71;0;Albergo;4;9.21476057959;45.4523697487;45.4523697487, 9.21476057959
C-AL/326;VIA TIZIANO VECELLIO N. 6 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;VIA TIZIANO VECELLIO;6;6380;52;18;4;MINI HOTEL TIZIANO;;;18;3;1|2|3;77;34|25;Albergo;8;9.15662861278;45.4709380086;45.4709380086, 9.15662861278
C-AL/327;Via TONALE N. 14 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;Via TONALE;14;1213;28;3|7;3;hotel demo;;;0;;T|1|2;58;4|11;Albergo;2;9.20308613108;45.48886213;45.48886213, 9.20308613108
C-AL/328;Via TOFFETTI VINCENZO N. 4 (z.d. 4);ATTIVITA RICETTIVE - Strutt. albergh.;Via TOFFETTI VINCENZO;4;4188;26;9|9|8;3;hotel mistral;;27;9|9|8;3;1|2|3;49;18|18|13;Albergo;4;9.23538688973;45.4359789974;45.4359789974, 9.23538688973
C-AL/329;VIA TONALE N. 2 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;VIA TONALE;2;1213;62;15|13|4;3;hotel albert;;;0;5;4|5|1|2|3;102;26|19|5;Albergo;2;9.20435046707;45.4882204628;45.4882204628, 9.20435046707
C-AL/330;Via GAGGIA PIETRO N. 3 (z.d. 4);ATTIVITA RICETTIVE - Strutt. albergh.;Via GAGGIA PIETRO;3;4187;259;;4;starhotels business palace;;;;;;468;;Albergo;4;9.23126511481;45.4373343008;45.4373343008, 9.23126511481
C-AL/331;Corso VENTIDUE MARZO N. 32 (z.d. 4);ATTIVITA RICETTIVE - Strutt. albergh.;Corso VENTIDUE MARZO;32;3074;9;;1;hotel america;;;;;;18;;Albergo;4;9.21828433446271;45.4620391526339;45.4620391526339, 9.21828433446271
C-AL/333;Via TORRIANI NAPO N. 14 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;Via TORRIANI NAPO;14;2126;62;8|12|11|9|7;3;hotel mennini;;;8|12|11|9|7;7;1|2|3|4|5|6|7;122;14|20|19|18|12|10;Albergo;2;9.20358148758;45.4818295323;45.4818295323, 9.20358148758
C-AL/334;VIA TORRIANI NAPO N. 15 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;VIA TORRIANI NAPO;15;2126;61;8|7|5|4;3;hotel canova;;52;8|0|7|5|2;9;1|2|3|4|5|6|7|8|9;134;10|11|9|8;Albergo;2;9.20312249718;45.4826738738;45.4826738738, 9.20312249718
C-AL/335;VIA TORRIANI NAPO N. 18 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;VIA TORRIANI NAPO;18;2126;100;10|21;4;HOTEL BERNA;;;10|21;6;R|1|2|3|4|5;166;13|31|33|32;Albergo;2;9.20337302066;45.482713701;45.482713701, 9.20337302066
C-AL/336;Via TORRIANI NAPO N. 21 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;Via TORRIANI NAPO;21;2126;56;5|11|12|12|11|6;3;hotel garda;;;4|9|8|9|7|4;;T|1|2|3|4|5;98;8|19|19|19|19|9;Albergo;2;9.20304216594;45.4829982259;45.4829982259, 9.20304216594
C-AL/337;Via TORRIANI NAPO N. 23 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;Via TORRIANI NAPO;23;2126;50;9|9|9|9|9|4;3;flora;;50;9|9|9|9|9|4;6;1|2|3|4|5|6;83;15|15|15|15|15|7;Albergo;2;9.20302084001;45.4831003712;45.4831003712, 9.20302084001
C-AL/338;VIA TORRIANI NAPO N. 24 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;VIA TORRIANI NAPO;24;2126;62;8|11|10;4;Atlantic hotel;;62;8|11|10;6;1|2|3|4|5|6;91;13|16|14;Albergo;2;9.20330079679;45.4830468907;45.4830468907, 9.20330079679
C-AL/339;VIA TORRIANI NAPO N. 27 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;VIA TORRIANI NAPO;27;658;50;0;3;hotel bernina;;;0;;;84;0;Albergo;;;;
C-AL/341;Via TORRIANI NAPO N. 29 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;Via TORRIANI NAPO;29;2126;56;9|7|4|6|3;3;hotel augustus;;56;9|7|4|6|3;8;4|5|6|S|R|1|2|3;93;15|11|5|10|7;Albergo;2;9.20293226906;45.4834655708;45.4834655708, 9.20293226906
C-AL/343;Viale TUNISIA N. 9 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Viale TUNISIA;9;2121;50;3|6|9|9|9;4;st. george hotel;;;3|7|9|9|9;;A|1|2|3|4;99;5|16|26|26|26;Albergo;3;9.20552799881;45.4771304815;45.4771304815, 9.20552799881
C-AL/344;Viale VITTORIO VENETO N. 30 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;Viale VITTORIO VENETO;30;2107;15;;2;hotel casa mia;;;;;;25;;Albergo;2;9.19893236349;45.4777006109;45.4777006109, 9.19893236349
C-AL/345;Via VENINI GIULIO E CORRADO N. 59 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;Via VENINI GIULIO E CORRADO;59;2258;11;10;1;hotel siro;;6;6;1;1;22;15;Albergo;2;9.21594763445;45.4917106903;45.4917106903, 9.21594763445
C-AL/346;Corso VERCELLI N. 55 (z.d. 7);ATTIVITA RICETTIVE - Strutt. albergh.;Corso VERCELLI;55;6193;14;5|5|4;1;ferrari;;14;5|5|4;3;R|1|2;25;8|10|7;Albergo;7;9.15773205535;45.466581515;45.466581515, 9.15773205535
C-AL/347;CORSO VERCELLI N. 61 (z.d. 7);ATTIVITA RICETTIVE - Strutt. albergh.;CORSO VERCELLI;61;658;42;11;3;hotel metro;;22;11;2;1|2;72;19;Albergo;;;;
C-AL/348;Via VISERBA num.018/a| ();ATTIVITA RICETTIVE - Strutt. albergh.;Via VISERBA;;2417;47;15|16|16;3;viserba residence;;;15|16|16;3;R|1|2;96;29|32|32;Residence;;;;
C-AL/349;VIA VITRUVIO N. 24 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;VIA VITRUVIO;24;2134;15;4|5;2;hotel mondial;;;4|5|3;3;T|1|2;28;6|8|7;Albergo;3;9.20785925027;45.4818753303;45.4818753303, 9.20785925027
C-AL/350;Via VITRUVIO N. 29 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via VITRUVIO;29;2134;18;3|6|6|3;3;hotel mazzini;;18;3|6|6|3;4;T|1|2|3;30;9|10|10|5;Albergo;3;9.2076564532;45.4817490078;45.4817490078, 9.2076564532
C-AL/353;Via WASHINGTON GIORGIO N. 42 (z.d. 7);ATTIVITA RICETTIVE - Strutt. albergh.;Via WASHINGTON GIORGIO;42;6111;11;4;1;villa giovanna;;4;1;3;1|2|M;16;6|4;Albergo;7;9.15477156346;45.4633161086;45.4633161086, 9.15477156346
C-AL/354;Via WASHINGTON GIORGIO N. 66 (z.d. 7);ATTIVITA RICETTIVE - Strutt. albergh.;Via WASHINGTON GIORGIO;66;6111;323;52|11;4;marriot hotel;;323;52|11;7;1|2|3|4|5|6|7;646;104|22;Albergo;7;9.15422364375;45.461084833;45.461084833, 9.15422364375
C-AL/381;Via TORRAZZA N. 15 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;Via TORRAZZA;15;7360;15;;2;hotel bonola;;;;;;25;;Albergo;8;9.10550864137;45.5040109986;45.5040109986, 9.10550864137
C-AL/382;Via SIGIERI GOFFREDO N. 3 (z.d. 4);ATTIVITA RICETTIVE - Strutt. albergh.;Via SIGIERI GOFFREDO;3;4080;19;;3;residence sigieri;;;;;;24;;Residence;4;9.20982844248;45.452970483;45.452970483, 9.20982844248
C-AL/383;Viale ESPINASSE CARLO N. 22 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;Viale ESPINASSE CARLO;22;7390;10;0|4;1;sorrento;;;0|4;;|1|2;20;0|7;Albergo;8;9.14393296441;45.4950183926;45.4950183926, 9.14393296441
C-AL/384;Corso EUROPA N. 9 (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;Corso EUROPA;9;300;89;12|12|12|12|12|11|5;4;hotel galileo;;;0|0|0|0|0|0|0;7;1|2|3|4|5|6|7;159;22|22|22|22|22|21|6;Albergo;1;9.19609889542;45.4641769699;45.4641769699, 9.19609889542
